permit_number,s_name,s_address,city,z_code,p_fee,c_number,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude
PAA170328,WALDORF SCHOOL OF PITTSBURGH - 201 S WINEBIDDLE STREET,,PITTSBURGH,15224,450,4144,,,REMOVE VAT MASTIC IN ROOMS 300 & 301,725,t,2017-06-21,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.4612562027025,-79.9602761883961
PAA170329,NORTH ALLEGHENY INTERMEDIATE SCHOOL,350 CUMBERLAND RD,PITTSBURGH,15237,850,4143,,,REMOVE VAT MASTIC IN ROOMS 52 & 61 AND HOOD LINER IN ROOM 61,1850,t,2017-06-21,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.5707903687337,-80.0314715956707
PAA170330,PRINCE OF PEACE LUTHERAN CHURCH,400  OLD CLAIRTON RD,PITTSBURGH,15236,450,4145,,,REMOVE GLUE DOTS FROM ONE ROOM,528,f,2017-06-21,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.3582634317886,-79.9819837957807
PAA170331,PORT AUTHORITY OF ALLEGHENY COUNTY - EAST LIBERTY,6831  5TH AVE,PITTSBURGH,15206,850,4146,,,REMOVE FLOOR TILE & MASTIC IN BASEMENT,7300,t,2017-06-21,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.4570052789595,-79.9121688202018
PAA170332,409 CHAMBERS STREET,409 CHAMBERS ST,CLAIRTON,15025,850,16999,,,REMOVE & DISPOSE OF ASBESTOS CONTAINING MATERIALS.,620,f,2017-06-19,2017-08-25,2,t,f,2017-08-25,DEMOLITION,40.2944326442958,-79.8768412154557
PAA170333,747 WADDELL AVENUE,747  WADDELL AVE,CLAIRTON,15025,850,17000,,,REMOVE AND DISPOSE OF ASBESTOS CONTAING MATERIALS,2592,f,2017-06-19,2017-08-25,2,t,f,2017-08-25,DEMOLITION,40.2949245401061,-79.8907094068467
PAA170334,407 CHAMBERS STREET,407 CHAMBERS ST,CLAIRTON,15025,850,16998,,,REMOVE AND DISPOSE OF ASBESTOS CONTAINING MATERIALS.,1056,f,2017-06-19,2017-08-25,2,t,f,2017-08-25,DEMOLITION,40.2945202436567,-79.876855804229
PAA170335,269 SHAW AVENUE,269  SHAW AVE,CLAIRTON,15025,850,17001,,,REMOVE & DISPOSE OF CEMENT SIDING ON THE EXTERIOR,1920,f,2017-06-19,2017-08-25,2,t,f,2017-08-25,DEMOLITION,40.2960661211671,-79.8802046815726
PAA170336,712/714 WEST STREET,712  WEST ST,WILKINSBURG,15221,850,1708,,,DEMOLISH SINGLE FAMILY HOMES. REMOVE ALL TRASH & DEBRI. CLEAN BASEMENT VOID. BREAKUP CONCRETE SLAB & BACKFILL W/CLEAN MATERIAL LEVEL LOT SPREAD GRASS SEED & STRAW.  WIL BE HAULED OUT AS ACM,2120,f,2017-06-06,2017-06-13,2,t,f,2017-06-13,DEMOLITION,40.4433242522152,-79.8906808987415
PAA170337,CHRIST DIVINE TEACHER ACADEMY,205 BRILLIANT AVE,PITTSBURGH,15215,850,17443,,,"REMOVE FLOOR TILE & MASTIC IN THE HALLWAYS, CLASSROOMS, & OFFICES ON THE FIRST & SECOND FLOORS.  REMOVE BOILER DUST IN THE BASEMENT BOILER ROOM.",40000,f,2017-07-10,2017-07-30,2,t,f,2017-07-30,RENOVATION,40.4911767235533,-79.9009987987849
PAA170338,"K & L GATES CENTER - 210 SIXTH AVENUE, PITTSBURGH PA 15228",,DORMONT,15228,450,4310,,,"REMOVE FIRE PROOFING SPOT REMNANTS ON FLOORS 31, 32, 33, 34.",1000,f,2017-06-26,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.3995169017038,-80.0249671379753
PAA170339,518 CAMPBELL STREET,518  CAMPBELL ST,WILKINSBURG,15221,850,1721,,,"DEMO OF 2 STORY HOUSE, REMOVE ALL TRASH & DEBRI, AND CLEAN & LEVEL LOT USING WET METHODS.",,f,2017-06-12,2017-06-19,2,t,f,2017-06-19,DEMOLITION,40.436193002111,-79.8797045580976
PAA170340,CHEVRON SCIENCE CTR-PHASE 2 - 219 PARKMAN AVE,,PITTSBURGH,15236,450,4147,,,"ABATE GROUND FLOOR LAB TOPS IN G17 & G 18, FUME HOOD IN G18, & VAT/MASTIC IN G15 & G18",875,t,2017-06-26,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.3490702937537,-79.9735542639648
PAA170341,FORMER REINHOLD DAIRY 836 FULTON STREET,,PITTSBURGH,15233,200,2135,,,REMOVE TRANSITE FROM LOADING DOCK CANOPY AT THE SOUTH END OF THE BUILDING,240,f,2017-06-30,2017-07-30,2,t,f,2017-07-30,RENOVATION,40.4639144343458,-80.0451834228547
PAA170342,NORTH FAYETTE/HANKEY FARMS POOL BUILDING,7521 STEUBENVILLE PIKE,OAKDALE,15071,850,17021,,,REMOVE AND DISPOSE OF TRANSITE ROOFING & CAULKING ON EXTERIOR PANELS ON SIDE OF BUILDING,2100,f,2017-06-27,2017-09-27,2,t,f,2017-09-27,DEMOLITION,40.4410842254886,-80.2015433382798
PAA170343,"CLACK HEALTH CENTER, BUILDING 6",301  39TH ST,PITTSBURGH,15201,450,4063,,,"REMOVAL OF VAT IN THE MAIN ROOM LOUNGE ARES, BATH ROOM & SLOP SINK AREA",730,f,2017-06-30,2017-07-31,2,t,f,2017-07-31,RENOVATION,40.4654205789884,-79.9606189608018
PAA170344,US STEEL MON VALLEY WORKS - IRVIN PLANT - CURRY HOLLOW RD,,WEST MIFFLIN,15122,850,42472,,,REMOVE & DISPOSE OF GALBESTOS ROOFING,7000,t,2017-06-26,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.3412103875081,-79.9544594254356
PAA170345,WEST PENN HOSPITAL - MELLON PAVILION,4800 FRIENDSHIP AVE,PITTSBURGH,15224,850,46486,,,REMOVE FLOOR TILE/MASTIC ON 4TH FLOOR IN SUITE 445/445.5.,1500,t,2017-06-28,2017-07-30,2,t,f,2017-07-30,RENOVATION,40.4621317678598,-79.9462630434165
PAA170346,KURT LESKER COMPANY,1925  ROUTE 51,JEFFERSON HILLS,15025,450,4149,,,REMOVE FLOOR TIEL/MASTIC ON 1ST FLOOR STAIR LANDING & MASTIC IN SHOP CORRIDOR,492,t,2017-06-29,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.2914187264912,-79.9130865791601
PAA170347,NORTHWEST SAVINGS BANK,532  LINCOLN AVE,BELLEVUE,15202,450,19160,,,REMOVE & DISPOSE OF FLOOR TILE/MASTIC IN VARIOUS ROOMS AND CLOSETS,913,t,2017-06-26,2017-06-30,2,t,f,2017-06-30,RENOVATION,40.4963068778274,-80.0564711970993
PAA170348,UPARC,3170 WILLIAM PITT WAY,PITTSBURGH,15238,850,17494,,,REMOVE TRANSITE PANELS & PIPE IN OLD COOLING TOWERS,2050,f,2017-07-10,2017-07-21,2,t,f,2017-07-21,DEMOLITION,40.5449997734214,-79.8271432746162
PAA170349,CRAFTON INGRAM SHOPPING CENTER FORMER RADIO SHACK,9  FOSTER AVE,PITTSBURGH,15205,450,17032,,,REMOVE & DISPOSE OF FLOOR TILE IN THE STORE ROOM,450,f,2017-06-29,2017-07-28,2,t,f,2017-07-28,RENOVATION,40.4412470609158,-80.0692580962181
PAA170350,BRIDGEVILLE REGULATOR STATION,1155 WASHINGTON PIKE,BRIDGEVILLE,15017,200,17492,,,REMOVE LINE HEATER INSULATION OUTSIDE,200,t,2017-06-28,2017-07-30,2,t,f,2017-07-30,RENOVATION,40.3695047584533,-80.1068553343925
PAA170351,BIDWELL APARTMENTS (HACP),1014  SHEFFIELD ST,PITTSBURGH,15233,850,24214246301,,,ABATEMENT OF BALCONY CEILING COATING ON VARIOUS FLOORS,2000,t,2017-08-04,2017-08-25,2,t,f,2017-08-25,RENOVATION,40.454141736928,-80.0206617975178
PAA170352,"SAINT MARY OF THE ASSUMPTION SCHOOL - GLENSHAW, PA",2510 MIDDLE RD,,15116,850,17034,,,REMOVE & DISPOSE OF FLOOR TILE ON IN THE FIRST FLOOR ENTRIES & HALLWAYS (2) AND FITTINGS IN OLD GYM,3012,t,2017-07-01,2017-09-01,2,t,f,2017-09-01,RENOVATION,40.5545089447322,-79.9318837649728
PAA170353,HOLY TRINITY SCHOOL,5720  STEUBENVILLE PIKE,MCKEES ROCKS,15136,450,17035,,,REMOVE & DISPOSE OF FLOOR TILE & MASTIC IN CLASSROOM 208,750,t,2017-06-30,2017-09-01,2,t,f,2017-09-01,RENOVATION,40.4523153239949,-80.1363291782074
PAA170354,SAINT ANNE CONVENT,400  HOODRIDGE DR,PITTSBURGH,15234,200,17033,,,"REMOVE & DISPOSE OF FLOOR TILE & MASTIC IN MUSIC MINISTRY OFFICE, ADJACENT HALLWAY, & LOWER ENTRANCE LANDING",270,t,2017-06-30,2017-09-29,2,t,f,2017-09-29,RENOVATION,40.3657271538023,-80.0341409047113
PAA170355,FORMER MACY'S BUILDING,400  5TH AVE,PITTSBURGH,15219,200,5390,,,REMOVE CEILING PLASTER ON THE FIRST FLOOR AND PIPE IN THE BASEMENT,10300,t,2017-06-26,2018-03-10,2,t,f,2018-03-10,RENOVATION,40.4431923328703,-79.9561377219759
PAA170356,"PSU GREATER ALLEGHENY, FRABLE BUILDING #978-004",4000 UNIVERSITY DR,MCKEESPORT,15132,200,42482,,,"REMOVE & DISPOSE OF FLOOR TILE, MASTIC, & BASEBOARD ADHESIVE IN FOOMS 302, 3030, & 303A",1550,t,2017-06-26,2017-07-10,2,t,f,2017-07-10,RENOVATION,40.3444432854474,-79.8271792769242
PAA170357,"PSU GREATER ALLEGHENY, MAIN BUILDING",4000 UNIVERSITY DR,MCKEESPORT,15132,850,42481,,,"REMOVE & DISPOSE OF FLOOR TILE & MASTIC IN ROOMS 207, 205A, STAIR Z202, & Z102 AND BASEBOARDS IN ROOM 207 & 205A",2340,t,2017-07-03,2017-07-10,2,t,f,2017-07-10,RENOVATION,40.3444432854474,-79.8271792769242
PAA170358,FORMER SHOP 'N SAVE,93  JOSEPH ST,BALDWIN BORO,15227,850,2150,,,REMOVE & DISPOSE OF FLOOR TILE AND MASTIC FROM THE EXISTING BEER DISTRIBUTOR AND THE NEW BEER DISTRIBUTOR LOCATION,2825,f,2017-06-23,2017-09-30,2,t,f,2017-09-30,RENOVATION,40.3894923565354,-79.9646925891611
PAA170359,PITTSBURGH OBAMA,515 N HIGHLAND AVE,PENN HILLS,15206,200,106228,,,REMOVE FLOOR TILE & MASTIC IN THE AUDITORIUM - STAGE WINGS.,152,f,2017-07-16,2017-07-28,2,t,f,2017-07-28,RENOVATION,40.4670706023025,-79.9225987601717
PAA170360,PITTSBURGH COLFAX,2332 BEECHWOOD BLVD,PITTSBURGH,15217,850,106226,,,"REMOVE FLOOR TILE & MASTIC IN ROOM 15, CEILING TILE MASTIC IN COMMUNITY ROOM, AND FITTING INSULATION IN VARIOUS AREAS",1228,f,2017-07-06,2017-08-11,2,t,f,2017-08-11,RENOVATION,40.4330648346783,-79.9153657434033
PAA170361,VAMC UD SITE PREP JOB #160002 -UNIVERSITY DRIVE,,PITTSBURGH,15218,450,42479 & 42489,,,REMOVE & DISPOSE OF FLOOR TILE & MASTIC ON THE GROUND FLOOR,300,t,2017-07-03,2018-07-03,2,t,f,2018-07-03,RENOVATION,40.4243410616836,-79.9049316371889
PAA170362,RESIDENTIAL STRUCTURE,3600  WASHINGTON PIKE,BRIDGEVILLE,15017,450,46489,,,REMOVE LINOLEUM FROM KITCHEN/DINING AREA,466,f,2017-07-05,2017-07-14,2,t,f,2017-07-14,DEMOLITION,40.3247947557462,-80.1387159921555
PAA170363,560 MILLER AVENUE,560  MILLER AVE,CLAIRTON,15025,850,1135,,,"TO RAZE 2 STORY BRICK STORE FRONT AND REMOVE ALL TRASH, DEBRI, & CLEAN BASEMENT VOID.  BACKFILL & LEVEL LOT.",,f,2017-07-03,2017-07-31,2,t,f,2017-07-31,DEMOLITION,40.2930272804221,-79.8830271386223
PAA170364,564 MILLER AVENUE,564  MILLER AVE,CLAIRTON,15025,850,1135,,,RAZE TWO STORY STORE FRONT.  REMOVE ALL DEBRI & CLEANBASEMENT VOID.  BACKFILL WITH CLEAN FILL AND LEVEL LOT,,f,2017-07-08,2017-07-31,2,t,f,2017-07-31,DEMOLITION,40.2929132242693,-79.883077333252
PAA170365,NOBLE MANOR OFFICES,2500  BALDWICK RD,PITTSBURGH,15205,850,10978,,,REMOVE FLOOR TILE & MASTIC FROM FIRST FLOOR VACANT SPACE,2375,t,2017-07-07,2017-08-31,2,t,f,2017-08-31,RENOVATION,40.4272438874501,-80.0569942489635
PAA170366,SAINT ANNE SCHOOL,4040 WILLOW AVE,PITTSBURGH,15234,450,17054,,,REMOVE & DISPOSE OF FLOOR TILE IN THE LIBRARY,660,t,2017-07-07,2017-09-01,2,t,f,2017-09-01,RENOVATION,40.3613033099936,-80.0295176814069
PAA170367,DUQUESNE UNIVERSITY (MELLON HALL),600 FORBES AVE,PITTSBURGH,15219,850,012629,,,"REMOVE VAT & MASTIC, FUME HOODS, TSI, & CEMENT BOARD IN ROOMS 242, 244, & 342.",2187,t,2017-07-11,2017-10-11,2,t,f,2017-10-11,RENOVATION,40.437826212702,-79.9936526271794
PAA170368,7800 SUSQUEHANNA STREET,7800  SUSQUEHANNA ST,PITTSBURGH,15208,450,16508,,,REMOVE WINDOW CAULKING ON THE 5TH FLOOR EXTERIOR WINDOWS.,670,f,2017-07-03,2018-07-03,2,t,f,2018-07-03,RENOVATION,40.4493486243,-79.8891618801259
PAA170369,PITTSBURGH WESTWOOD,508 SHADYHILL RD,PITTSBURGH,15205,200,106227,,,REMOVE FLOOR TILE/MASTIC IN GROUND FLOOR HALLWAY & CHALKBOARD MASTIC IN NURSE'S OFFICE,243,f,2017-07-06,2017-08-11,2,t,f,2017-08-11,RENOVATION,40.431476636555,-80.0505566656086
PAA170370,CHARTIERS VALLEY HIGH SCHOOL,50 THOMS RUN RD,BRIDGEVILLE,15017,200,16576,,,REMOVE TANK INSULATION FROM 2 TANKS IN THE POOL/HEATER ROOM,90,t,2017-07-03,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.378788791577,-80.1025406961975
PAA170371,SACRED HEART SCHOOL ACTIVITIES BUILDING,325 EMERSON ST,PITTSBURGH,15206,200,17081,,,REMOVE & DISPOSE OF FLOOR TILE IN THE BOY'S LOCKER ROOM,280,t,2017-07-11,2017-09-01,2,t,f,2017-09-01,RENOVATION,40.4556960778335,-79.9236661371094
PAA170372,MORROW PRE K-8 SCHOOL,1611 DAVIS AVE,PITTSBURGH,15212,850,4950,,,REMOVE ROOF DRAIN SEALANT & FLASHING FROM FLAT ROOF.  REMOVE BOX GUTTER CAULKING FROM SHINGLED ROOF GUTTER SYSTEM & VENT CAULKING FROM PENTHOUSE,1869,f,2017-06-30,2017-08-31,2,t,f,2017-07-31,RENOVATION,40.4801635418555,-80.0398283705483
PAA170373,UOP MEDICAL CENTER - SCAIFE HALL 3550 TERRACE ST,,PITTSBURGH,15232,850,4364,,,REMOVE FLOOR TILE & MASTIC ON LVEEL 2M & 5TH FLOOR LOBBY.,4430,t,2017-07-07,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.4551264334198,-79.9424815327283
PAA170374,NORTH ALLEGHENY INTERMEDIATE SCHOOL,350 CUMBERLAND RD,PITTSBURGH,15237,200,4150,,,"REMOVE VAT & MASTIC IN THE FAC LOUNGE. BAND, MAIL, & HEALTH ROOMS.  REMOVE FLOOR FILLER IN THE MEN'S ROOM",2385,t,2017-06-26,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.5707903687337,-80.0314715956707
PAA170375,"904 CONSTANCE STREET, PITTSBURGH, PA 15212",904  CONSTANCE ST,PITTSBURGH,15212,850,6969,,,EMERGENCY DEMOLITION,702,f,2017-06-30,2017-08-31,2,t,f,2017-08-31,DEMOLITION,40.4566166523992,-79.9940723012414
PAA170376,SHERATON HOTEL PITTSBURGH AIRPORT,1160  THORN RUN RD,CORAOPOLIS,15108,850,17534,,,REMOVE SPRAY FIRE PROOFING IN VARIOUS LOCATIONS,1522,t,2017-06-30,2017-12-30,2,t,f,2017-12-30,RENOVATION,40.5018671909617,-80.2100256441363
PAA170377,1844 ARDMORE BOULEVARD,1844  ARDMORE BLVD,FOREST HILLS,15221,850,17535,,,"REMOVE FLOOR TILE IN BASEMENT, FLOOR MASTIC & TILE IN THE 1ST, 2ND, & 3RD FLOOR STAIRWELLS, ROOF & FLASHING, TRANSITE PANEL IN 4TH FLOOR STAIRWELL, & TRANSITE DEBRIS OUTSIDE DEBRIS PILE",34671,f,2017-07-06,2017-08-30,2,t,f,2017-08-30,RENOVATION,40.4246369133034,-79.8603180538757
PAA170378,CARNEGIE MELLON UNIVERSITY - BAKER HALL,5000 FORBES AVE,PITTSBURGH,15213,200,10993,,,REMOVE FLOOR TIEL & MASTIC IN ROOM 245H,200,t,2017-07-14,2017-07-31,2,t,f,2017-07-31,RENOVATION,40.4442129846549,-79.94339909741
PAA170379,MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,200,4370,,,REMOVE & DISPOSE OF FLOOR TILE & MASTIC IN THE CLEAN LINEN ROOMS ON THE 2ND AND 11TH FLOORS.,710,t,2017-07-10,2018-07-03,2,f,f,2017-12-30,RENOVATION,40.4360439740714,-79.9854587006851
PAA170380,UOP THACKERAY HALL 166-172 THACKERAY AVENUE,,PITTSBURGH,15213,450,4155,,,REMOVE VAT & MASTIC FROM ROOMS 303 & 304.,588,t,2017-07-19,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.438222758373,-79.9722482342226
PAA170381,CITIZENS BANK - MOUNT LEBANON,712  WASHINGTON RD,MT LEBANON,15228,450,4963,,,REMOVE FLOOR TILE & MASTIC IN THE FORMER POST OFFICE TENANT SPACE,975,f,2017-07-19,2017-07-26,2,t,f,2017-07-26,RENOVATION,40.3797312485885,-80.0455604215168
PAA170382,RESIDENCE HALL - PSU GREATER ALLEGHENY CAMPUS,4000 UNIVERSITY DR,MCKEESPORT,15132,200,103182,,,REMOVE GRAY/WHITE VERTICAL CAULKING BETWEEN BRICK NENEER/CONCRETE PANELS,53,t,2017-07-10,2017-07-20,2,f,f,2017-07-20,RENOVATION,40.3444432854474,-79.8271792769242
PAA170383,"915 LINCOLN AVENUE, SPRINGDALE, PA 15144 REAR",915  LINCOLN AVE,SPRINGDALE BORO,15144,450,6975,,,REMOVE & DISPOSE OF PAPER BACKING IN THE KITCHEN & WINDOW GLAZING ON THE EXTERIOR,820,f,2017-07-12,2017-12-31,2,t,f,2017-12-31,DEMOLITION,40.541128502314,-79.7771075634505
PAA170384,"1919 EAST RAILROAD STREET, CARNEGIE, PA 15106",1919 E RAILROAD ST,CARNEGIE,15106,200,17102,,,REMOVE & DISPOSE OF FLOOR TILE ON THE BASEMENT STAIRS & KITCHEN,245,f,2017-07-17,2017-09-29,2,t,f,2017-09-29,DEMOLITION,40.3884325296201,-80.0891426238754
PAA170385,"1919 EAST WASHINGTON STREET, CARNEGIE, PA 15106",1919 WASHINGTON ST,CARNEGIE,15106,450,17101,,,"REMOVE & DISPOSE OF FLOOR TILE IN THE KITCHEN, MASTIC IN THE RESTROOM, COVE BASE IN THE KITCHEN, & TRANSITE VENT PIPE ON EXTERIOR WALL TO ROOF LINE",325,f,2017-07-18,2017-09-29,2,t,f,2017-09-29,DEMOLITION,40.3883416285946,-80.0889803817568
PAA170386,CARNEGIE MELLON UNIVERSITY - HUNT LIBRARY,5000 FORBES AVE,PITTSBURGH,15213,450,11002,,,"REMOVE FLOOR TILE IN ROOMS 302, 304, 305, 316 AND SEATING AREA TO ROOM 318.",675,t,2017-07-25,2017-08-30,2,t,f,2017-08-30,RENOVATION,40.4442129846549,-79.94339909741
PAA170387,WEST PENN HOSPITAL,4800 FRIENDSHIP AVE,PITTSBURGH,15224,850,46512 & 46519,,,REMOVE MASTIC ON ASBESTOS DECKINN & PIPE INSULATION ON 1N WING,4545,t,2017-07-17,2017-08-31,2,t,f,2017-08-31,RENOVATION,40.4621317678598,-79.9462630434165
PAA170388,"7190 SALTSBURG ROAD, PITTSBURGH PA 15235",7190  SALTSBURG RD,PITTSBURGH,15235,200,17100,,,"REMOVE AND DISPOSE OF FLOOR TILE & COVE BASE MASTIC IN THE LAUNDRY ROOM, BATHROOM, & FIRST FLOOR HALLWAY; FLOORING IN THE 1ST FLOOR FOYER; & EXTERIOR WINDOW CAULK IN BASEMENT.",284,f,2017-07-18,2017-09-29,2,t,f,2017-09-29,DEMOLITION,40.4760693086526,-79.7887819305051
PAA170389,"122 QUARRY STREET, EAST PITTSBURGH, PA 15112",122  QUARRY ST,EAST PITTSBURGH,15112,200,6974,,,REMOVE & DISPOSE OF VAT IN KITCHEN,168,f,2017-07-11,2017-09-30,2,t,f,2017-09-30,DEMOLITION,40.4046138257906,-79.8364815089347
PAA170390,"600 MCMASTERS, TURTLE CREEK, PA 15145",600  MCMASTERS AVE,TURTLE CREEK,15145,450,6973,,,REMOVE & DISPOSE OF PLASATER IN THE KITCHEN AND DINING ROOM AND VAT IN THE KITCHEN.,242,f,2017-07-11,2017-09-30,2,t,f,2017-09-30,DEMOLITION,40.4135146034029,-79.825855290235
PAA170391,EDGEWOOD ELEMENTARY SCHOOL,241 MAPLE AVE,EDGEWOOD,15218,850,17624,,,REMOVE FLOOR TILE IN 2 CLASSROOMS,1300,f,2017-07-25,2017-07-31,2,t,f,2017-07-31,RENOVATION,40.4328702991806,-79.8830347915007
PAA170392,"BABB, INC.",850  RIDGE AVE,PITTSBURGH,15212,450,17125,,,REMOVE & DISPOSE OF FLOOR TILE IN HALLWAY AND CLOSETS ON THE 1ST FLOOR,504,t,2017-07-25,2017-10-27,2,t,f,2017-10-27,RENOVATION,40.4504628270465,-80.0156783225413
PAA170393,FORMER HANLON-GREGORY INDUSTRIES PRODUCTION BUILDING,5515  BUTLER ST,PITTSBURGH,15201,850,33970,,,REMOVE TRANISTE PANELS ON EAST SIDE OF BUILDING. REMOVE AIRTELL PIPE INSULATION & MOLDED FITTINGS FROM THE MIDDLE OF THE BUILDING.,7708,f,2017-08-01,2017-08-22,2,t,f,2017-08-22,DEMOLITION,40.4837248225018,-79.9496495263268
PAA170394,FORMER HANLON -GREGORY FRONT OFFICE BUILDING,5515  BUTLER ST,PITTSBURGH,15201,850,34053,,,REMOVE 9X9 GREEN FLOOR TILE AND 9C9 BEIGE FLOOR TILE FROM BRICK MASONRY BUILDING,1100,f,2017-08-01,2017-08-22,2,f,f,2017-08-22,DEMOLITION,40.4837248225018,-79.9496495263268
PAA170395,"VACANT STRUCTURE, 114 WEST 7TH AVENUE, TARENTUM, PA 15084",114 W 7TH AVE,TARENTUM,15084,850,11008,,,"REMOVE FLOOR TILE IN APTS A-2 & B-3, SINK UNDERCOATING IN APT. A-5, DUCT TAPE INSULATION IN A-4, A-5 & FURNACE ROOM, EXTERIOR WINDOW CAULKING ON WINDOWS, ROOF TAR ON GARAGE ROOF, COPING STONE & PARAPET WALL, AND FLUE PIPE TAR ON REAR ROOF ABOVE APTS. B-3",1411,f,2017-07-28,2017-08-11,2,t,f,2017-08-11,DEMOLITION,40.6008723546459,-79.7601951355371
PAA170396,"SISTERS OF DIVINE PROVIDENCE, 9000 OLD BABCOCK BLVD, ALLISON PARK",,HAMPTON,15101,450,4163,,,REMOVE VAT/MASTIC FROM GROUND FLOOR CLASSROOM,600,t,2017-07-26,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.5637415492464,-79.9890654903571
PAA170397,UOP - THAW HALL - 3943 O'HARA STREET,,PITTSBURGH,15213,850,4164,,,REMOVE VAT & MASTIC FROM ROOM 203.,1208,t,2017-07-21,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.438222758373,-79.9722482342226
